order_id,customer_id,product_id,order_timestamp,quantity,unit_price,order_status,payment_method,updated_at
157,77.0,34.0,2024-03-02 15:40:00,3.0,1868.51,cancelled,,2024-03-04 13:40:00
165,110.0,16.0,2024-05-10 00:02:00,5.0,734.31,paid,credit_card,2024-05-12 22:02:00
173,18.0,10.0,2024-02-29 02:12:00,2.0,,cancelled,credit_card,2024-03-02 22:12:00
178,17.0,22.0,2024-06-14 14:51:00,1.0,1885.14,paid,,2024-06-16 16:51:00
181,26.0,35.0,2024-04-08 04:26:00,5.0,,cancelled,,2024-04-10 00:26:00
183,75.0,11.0,2024-05-15 11:49:00,2.0,,returned,credit_card,2024-05-16 15:49:00
190,104.0,37.0,2024-06-03 10:58:00,5.0,289.88,paid,cash,2024-06-05 02:58:00
197,62.0,7.0,2024-06-18 20:38:00,2.0,,created,,2024-06-19 10:38:00
201,116.0,33.0,2024-03-17 02:25:00,1.0,,paid,bank_transfer,2024-03-18 05:25:00
204,75.0,7.0,2024-02-07 18:37:00,3.0,,cancelled,cash,2024-02-09 19:37:00
209,109.0,12.0,2024-04-13 04:49:00,2.0,1675.58,created,,2024-04-13 10:49:00
219,93.0,22.0,2024-02-02 23:16:00,2.0,,cancelled,cash,2024-02-04 22:16:00
223,98.0,37.0,2024-04-25 08:13:00,5.0,1572.57,paid,,2024-04-27 14:13:00
231,26.0,17.0,2024-01-30 03:31:00,3.0,,paid,credit_card,2024-02-02 01:31:00
233,93.0,17.0,2024-01-24 16:04:00,5.0,,shipped,,2024-01-24 22:04:00
239,90.0,28.0,2024-05-12 16:44:00,5.0,,paid,credit_card,2024-05-12 17:44:00
256,66.0,25.0,2024-02-17 05:47:00,5.0,,paid,bank_transfer,2024-02-18 13:47:00
257,91.0,3.0,2024-01-02 10:29:00,3.0,,cancelled,cash,2024-01-02 19:29:00
258,24.0,33.0,2024-03-22 16:14:00,5.0,,created,cash,2024-03-23 20:14:00
265,109.0,23.0,2024-05-29 01:44:00,3.0,,returned,credit_card,2024-05-30 13:44:00
273,71.0,12.0,2024-04-01 09:31:00,3.0,1718.84,returned,bank_transfer,2024-04-02 18:31:00
280,62.0,33.0,2024-03-29 15:50:00,5.0,339.56,returned,cash,2024-03-30 18:50:00
286,61.0,35.0,2024-06-04 03:11:00,1.0,969.66,returned,credit_card,2024-06-06 10:11:00
292,96.0,29.0,2024-02-05 21:07:00,1.0,,shipped,credit_card,2024-02-06 17:07:00
300,59.0,31.0,2024-03-27 14:43:00,3.0,144.43,,bank_transfer,2024-03-29 06:43:00
301,69.0,17.0,2024-04-15 11:33:00,3.0,,created,bank_transfer,2024-04-17 23:33:00
312,45.0,37.0,2024-01-06 13:07:00,3.0,,,,2024-01-06 23:07:00
326,60.0,22.0,2024-03-20 15:23:00,2.0,,created,,2024-03-21 14:23:00
327,49.0,8.0,2024-02-19 08:52:00,5.0,,paid,credit_card,2024-02-20 09:52:00
337,9.0,9.0,2024-01-25 16:42:00,1.0,,paid,credit_card,2024-01-25 20:42:00
349,73.0,21.0,2024-01-11 10:34:00,2.0,,cancelled,credit_card,2024-01-12 14:34:00
363,84.0,38.0,2024-05-18 04:13:00,2.0,624.91,cancelled,bank_transfer,2024-05-21 04:13:00
367,61.0,11.0,2024-02-17 12:31:00,2.0,74.14,shipped,,2024-02-18 16:31:00
372,93.0,12.0,2024-06-14 14:05:00,5.0,,created,bank_transfer,2024-06-17 00:05:00
375,112.0,11.0,2024-02-13 10:36:00,2.0,1540.62,cancelled,cash,2024-02-15 01:36:00
376,24.0,9.0,2024-04-24 09:40:00,1.0,,created,,2024-04-27 00:40:00
386,73.0,12.0,2024-03-28 12:46:00,3.0,,cancelled,credit_card,2024-03-29 05:46:00
389,50.0,39.0,2024-02-12 18:38:00,3.0,,,credit_card,2024-02-14 04:38:00
392,42.0,7.0,2024-05-14 09:49:00,2.0,,cancelled,credit_card,2024-05-14 09:49:00
401,92.0,21.0,2024-01-27 12:52:00,3.0,,returned,,2024-01-28 18:52:00
409,18.0,5.0,2024-03-14 21:08:00,2.0,,,,2024-03-15 14:08:00
419,45.0,17.0,2024-05-27 23:53:00,1.0,,cancelled,cash,2024-05-30 11:53:00
423,87.0,5.0,2024-03-21 17:00:00,5.0,204.42,,,2024-03-23 13:00:00
425,49.0,8.0,2024-01-23 19:08:00,3.0,596.19,,,2024-01-25 06:08:00
427,34.0,29.0,2024-01-16 08:52:00,5.0,1959.05,returned,,2024-01-17 06:52:00
434,25.0,38.0,2024-02-18 04:02:00,5.0,,cancelled,,2024-02-18 06:02:00
435,44.0,26.0,2024-01-10 10:03:00,2.0,,,bank_transfer,2024-01-11 15:03:00
437,79.0,38.0,2024-03-19 03:29:00,1.0,237.22,created,bank_transfer,2024-03-21 09:29:00
443,60.0,18.0,2024-05-18 16:14:00,2.0,234.23,,,2024-05-21 07:14:00
445,119.0,11.0,2024-01-27 23:03:00,5.0,1034.66,paid,,2024-01-29 16:03:00
451,29.0,37.0,2024-03-24 13:37:00,5.0,1960.57,cancelled,credit_card,2024-03-26 19:37:00
468,62.0,9.0,2024-06-25 03:46:00,3.0,59.34,cancelled,cash,2024-06-25 14:46:00
469,83.0,38.0,2024-03-24 01:38:00,3.0,399.47,returned,,2024-03-24 12:38:00
474,97.0,13.0,2024-04-28 22:36:00,5.0,,created,cash,2024-04-30 12:36:00
475,60.0,2.0,2024-05-06 17:47:00,2.0,,created,cash,2024-05-08 22:47:00
476,89.0,2.0,2024-02-15 15:58:00,3.0,991.17,returned,cash,2024-02-18 04:58:00
478,113.0,23.0,2024-02-07 10:29:00,1.0,,,cash,2024-02-07 16:29:00
484,89.0,20.0,2024-02-02 22:09:00,2.0,269.13,cancelled,credit_card,2024-02-03 07:09:00
485,56.0,13.0,2024-01-05 15:48:00,1.0,1588.18,cancelled,credit_card,2024-01-06 23:48:00
515,50.0,28.0,2024-03-25 18:47:00,2.0,222.56,shipped,,2024-03-27 22:47:00
535,56.0,32.0,2024-02-11 22:29:00,5.0,,cancelled,,2024-02-12 12:29:00
536,12.0,19.0,2024-02-07 03:22:00,2.0,,returned,bank_transfer,2024-02-07 03:22:00
538,119.0,21.0,2024-04-10 11:37:00,1.0,,cancelled,cash,2024-04-10 11:37:00
544,88.0,32.0,2024-06-22 07:41:00,3.0,941.76,cancelled,cash,2024-06-23 02:41:00
559,87.0,12.0,2024-04-01 08:22:00,1.0,682.09,returned,bank_transfer,2024-04-01 23:22:00
572,101.0,25.0,2024-03-17 09:42:00,1.0,662.42,shipped,,2024-03-17 21:42:00
582,61.0,8.0,2024-05-13 06:48:00,1.0,557.18,paid,,2024-05-13 16:48:00
583,52.0,32.0,2024-05-16 19:20:00,3.0,,created,cash,2024-05-18 19:20:00
584,13.0,19.0,2024-03-06 02:07:00,2.0,518.55,paid,cash,2024-03-08 06:07:00
586,49.0,4.0,2024-04-15 10:16:00,2.0,1506.75,cancelled,,2024-04-16 00:16:00
605,17.0,29.0,2024-06-26 02:50:00,3.0,,created,credit_card,2024-06-26 09:50:00
607,55.0,22.0,2024-04-08 14:50:00,5.0,1039.25,created,credit_card,2024-04-08 15:50:00
609,103.0,4.0,2024-02-17 07:08:00,3.0,,shipped,bank_transfer,2024-02-18 01:08:00
611,45.0,13.0,2024-05-23 01:27:00,1.0,,,,2024-05-24 19:27:00
616,23.0,2.0,2024-03-27 17:15:00,3.0,1822.19,,bank_transfer,2024-03-29 17:15:00
618,92.0,8.0,2024-06-08 13:56:00,2.0,1591.85,returned,,2024-06-10 12:56:00
622,5.0,15.0,2024-06-12 18:41:00,5.0,,paid,cash,2024-06-15 00:41:00
625,57.0,17.0,2024-04-07 00:11:00,3.0,,returned,credit_card,2024-04-08 11:11:00
631,101.0,9.0,2024-05-30 00:36:00,3.0,,cancelled,bank_transfer,2024-06-01 02:36:00
639,51.0,16.0,2024-06-27 18:06:00,3.0,,,credit_card,2024-06-28 21:06:00
640,71.0,24.0,2024-05-06 13:48:00,1.0,,cancelled,,2024-05-07 10:48:00
647,106.0,5.0,2024-01-08 00:21:00,1.0,1595.88,,bank_transfer,2024-01-08 05:21:00
653,55.0,40.0,2024-03-20 07:47:00,1.0,,shipped,bank_transfer,2024-03-21 02:47:00
657,19.0,9.0,2024-02-19 01:40:00,2.0,1189.33,paid,credit_card,2024-02-21 07:40:00
670,73.0,12.0,2024-05-08 03:28:00,1.0,1502.33,shipped,,2024-05-10 11:28:00
672,63.0,1.0,2024-05-29 07:30:00,3.0,1506.08,,credit_card,2024-05-29 19:30:00
678,92.0,34.0,2024-03-16 19:12:00,2.0,1000.87,shipped,,2024-03-17 16:12:00
679,85.0,16.0,2024-04-24 03:30:00,2.0,1508.97,created,,2024-04-24 06:30:00
682,38.0,8.0,2024-02-27 08:07:00,3.0,1483.76,,credit_card,2024-02-29 07:07:00
687,104.0,4.0,2024-02-23 23:59:00,5.0,,,bank_transfer,2024-02-24 01:59:00
692,52.0,3.0,2024-02-08 20:46:00,2.0,,,bank_transfer,2024-02-10 20:46:00
702,89.0,35.0,2024-03-06 21:27:00,1.0,,,bank_transfer,2024-03-08 20:27:00
703,106.0,27.0,2024-05-24 21:41:00,3.0,,cancelled,credit_card,2024-05-26 04:41:00
705,2.0,25.0,2024-02-07 07:17:00,5.0,1904.05,paid,cash,2024-02-09 21:17:00
719,112.0,8.0,2024-01-02 11:56:00,3.0,,cancelled,cash,2024-01-02 15:56:00
721,14.0,9.0,2024-04-09 04:07:00,3.0,1005.0,created,cash,2024-04-11 10:07:00
724,110.0,15.0,2024-06-05 05:12:00,2.0,,paid,bank_transfer,2024-06-07 11:12:00
726,55.0,20.0,2024-05-02 01:32:00,3.0,,,,2024-05-03 08:32:00
730,25.0,29.0,2024-05-30 20:52:00,1.0,,shipped,,2024-05-31 21:52:00
735,22.0,3.0,2024-03-09 17:07:00,3.0,87.79,shipped,bank_transfer,2024-03-11 03:07:00
736,106.0,35.0,2024-01-14 20:15:00,1.0,,shipped,credit_card,2024-01-17 18:15:00
742,18.0,39.0,2024-01-26 23:33:00,5.0,774.14,created,credit_card,2024-01-27 15:33:00
753,89.0,6.0,2024-05-14 18:49:00,3.0,15.7,shipped,,2024-05-15 11:49:00
758,78.0,33.0,2024-01-16 20:02:00,1.0,,,,2024-01-19 18:02:00
759,40.0,28.0,2024-03-07 18:32:00,3.0,,paid,bank_transfer,2024-03-09 21:32:00
772,72.0,10.0,2024-03-03 22:52:00,3.0,,created,bank_transfer,2024-03-05 23:52:00
779,106.0,36.0,2024-06-26 18:24:00,1.0,1448.22,shipped,cash,2024-06-26 19:24:00
791,27.0,6.0,2024-05-21 05:20:00,5.0,32.96,created,credit_card,2024-05-23 05:20:00
794,77.0,7.0,2024-01-29 14:59:00,3.0,531.37,created,credit_card,2024-02-01 05:59:00
